medicamento_id,lote_id,quantidade_atual,data_entrada,data_validade
paracetamol,paracetamol-L01,647.0,2025-10-26,2026-10-12
paracetamol,paracetamol-L02,3062.0,2025-11-27,2027-01-31
paracetamol,paracetamol-L03,100.0,2025-09-09,2027-02-18
dipirona,dipirona-L01,1850.0,2025-09-21,2027-02-10
dipirona,dipirona-L02,1744.0,2025-10-16,2027-11-03
ibuprofeno,ibuprofeno-L01,1615.0,2025-11-04,2027-05-22
ibuprofeno,ibuprofeno-L02,189.0,2025-10-25,2027-09-13
soro_fisiologico,soro_fisiologico-L01,1162.0,2025-09-12,2027-07-26
soro_fisiologico,soro_fisiologico-L02,1646.0,2025-10-18,2027-04-05
soro_ringer,soro_ringer-L01,143.0,2025-11-08,2027-01-02
soro_ringer,soro_ringer-L02,1086.0,2025-09-16,2026-10-16
salbutamol,salbutamol-L01,317.0,2025-11-01,2027-05-16
salbutamol,salbutamol-L02,80.0,2025-11-24,2026-09-06
predinisolona,predinisolona-L01,231.0,2025-09-28,2027-07-11
predinisolona,predinisolona-L02,203.0,2025-09-06,2026-12-20
predinisolona,predinisolona-L03,327.0,2025-12-17,2026-08-06
hidrocortisona_inj,hidrocortisona_inj-L01,609.0,2025-11-16,2026-01-10
hidrocortisona_inj,hidrocortisona_inj-L02,95.0,2025-11-19,2027-01-21
omeprazol_inj,omeprazol_inj-L01,435.0,2025-09-20,2027-07-11
omeprazol_inj,omeprazol_inj-L02,35.0,2025-12-23,2027-01-30
ondansetrona,ondansetrona-L01,84.0,2025-10-22,2026-08-31
ondansetrona,ondansetrona-L02,480.0,2025-09-08,2026-07-27
ondansetrona,ondansetrona-L03,86.0,2025-11-01,2026-11-21
metoclopramida,metoclopramida-L01,98.0,2025-11-13,2026-07-28
metoclopramida,metoclopramida-L02,47.0,2025-11-12,2027-09-27
amoxicilina,amoxicilina-L01,465.0,2025-09-29,2027-10-31
amoxicilina,amoxicilina-L02,929.0,2025-09-18,2026-08-29
azitromicina,azitromicina-L01,738.0,2025-10-30,2026-09-21
azitromicina,azitromicina-L02,49.0,2025-11-04,2027-11-06
azitromicina,azitromicina-L03,362.0,2025-09-07,2027-01-02
ceftriaxona_inj,ceftriaxona_inj-L01,267.0,2025-10-01,2026-01-05
ceftriaxona_inj,ceftriaxona_inj-L02,14.0,2025-09-23,2026-07-17
diclofenaco,diclofenaco-L01,133.0,2025-09-20,2027-09-15
diclofenaco,diclofenaco-L02,16.0,2025-10-30,2027-06-02
diclofenaco,diclofenaco-L03,697.0,2025-12-09,2027-01-08
tramadol,tramadol-L01,25.0,2025-09-08,2027-10-10
tramadol,tramadol-L02,11.0,2025-09-29,2027-11-14
tramadol,tramadol-L03,11.0,2025-09-27,2026-07-09
loratadina,loratadina-L01,654.0,2025-10-19,2027-11-10
loratadina,loratadina-L02,83.0,2025-12-17,2027-10-14
loratadina,loratadina-L03,71.0,2025-11-15,2026-11-30
soro_antitermico_infantil,soro_antitermico_infantil-L01,613.0,2025-11-24,2027-09-13
soro_antitermico_infantil,soro_antitermico_infantil-L02,1.0,2025-09-14,2027-12-06
adrenalina_inj,adrenalina_inj-L01,9.0,2025-09-05,2027-11-23
adrenalina_inj,adrenalina_inj-L02,2.0,2025-11-21,2027-05-21
diazepam,diazepam-L01,94.0,2025-12-09,2027-03-09
diazepam,diazepam-L02,301.0,2025-10-23,2027-10-09
